Conference Name,Location,Call for Papers Deadline,Conference Date,Submission Fee,Website
2023 New Zealand Finance Meeting,"Auckland, NZ",9/18/2023,12/7/2023,,https://acfr.aut.ac.nz/conferences-and-events/2023-nzfm
Joint Inquire UK-Inquire Europe Spring Seminar 2024,"Southampton, UK",11/30/2023,3/24/2024,0,https://www.inquire.org.uk/
Inaugural Fintech and Financial Institutions Research Conference,"Newark, DE",12/15/2023,4/18/2024,0,https://www.ssrn.com/index.cfm/en/janda/announcement/?id=13768
Eighth Duke-UNC Asset Pricing Conference,"Durham, NC",11/18/2023,3/29/2023,75,https://conferences.fuqua.duke.edu/assetpricing/submissions/
Finance Down Under: Building on the Best from the Cellars of Finance,"Melbourne, AU",10/8/2023,3/7/2024,50,https://fbe.unimelb.edu.au/conferences/fdu
2024 Midwest Finance Association Annual Meeting,"Chicago, IL",10/1/2023,3/7/2024,75,https://www.midwestfinance.org/conference-paper-submission
19th European Winter Finance Summit,"Davos, CH",10/19/2023,3/17/2024,60CHF,https://www.conftool.com/ewfs2024/
International Workshop on Macroeconomic Regime Changes,"London, UK",10/20/2023,12/1/2023,,https://cefes-dems.unimib.it/events/workshops/cefesworkshop2023dec1/
2024 Bretton Woods Accounting and Finance Ski Conference,"Bretton Woods, NH",10/31/2023,3/13/2024,75,http://www.brettonwoodsskiconference.com/
Jackson Hole Finance Group Conference 2024,"Jackson Hole, WY",9/11/2023,1/13/2024,50,https://jhfinance.web.unc.edu/
2024 RCFS Winter Conference,"San Juan, PR",11/16/2023,2/17/2024,75,https://www.conftool.com/rcfswinterconference-2024%5D
2024 Risk Theory Society Annual Seminar,"Iowa City, IA",12/15/2023,4/19/2021,0,https://www.aria.org/risk-theory-society-annual-seminar
SGF Conference 2024,"Zurich, CH",10/31/2023,4/5/2024,50CHF,http://www.fmpm.ch/conference
Southwestern Finance Association 2024 Annual Meeting,"Las Vegas, NV",9/17/2023,2/28/2024,50,https://www.openconf.org/swfa2024
60th Annual Eastern Finance Association Meeting,"St. Petersburg, FL",9/29/2023,4/10/2024,75,http://openconf.org/efa2024
15th Annual Hedge Fund Research Conference,"Paris, FR",9/15/2023,1/18/2024,,https://housefinance.dauphine.fr/fr/activites/annual-hedge-fund-research-conference/15th-annual-hedge-fund-research-conference.html
